Iteration,Best Score
1,5.315047011970128e+19
2,4.997879024485442e+19
3,4.892872407823192e+19
4,4.453335991164768e+19
5,3.96138187992301e+19
6,3.866561524927956e+19
7,3.5337301061861982e+19
8,3.4838501441927913e+19
9,3.4838501441927913e+19
10,3.0774004467026825e+19
11,2.8662846717076283e+19
12,2.7870767967142224e+19
13,2.498611946722465e+19
14,2.4147656067290604e+19
15,2.4147656067290604e+19
16,2.269280640072285e+19
17,2.187489297412212e+19
18,2.0733451099204547e+19
19,1.978427559928697e+19
20,1.978427559928697e+19
21,1.8597505786918846e+19
22,1.8229223186984792e+19
23,1.6934881187067216e+19
24,1.6816299320482978e+19
25,1.61610284005654e+19
26,1.5597223400631343e+19
27,1.5234553775724886e+19
28,1.4102962975779705e+19
29,1.4020444840845644e+19
30,1.2147962515914891e+19
31,1.1345168675994003e+19
32,1.0711729926076426e+19
33,1.0628056926142368e+19
34,8.85177809289146e+18
35,8.665357292940915e+18
36,8.332562292957399e+18
37,7.816655043023338e+18
38,6.993087543089279e+18
39,5.933773343171703e+18
40,5.750579876587462e+18
41,5.750579876587462e+18
42,5.413113626719342e+18
43,5.206058293468433e+18
44,5.175061793550857e+18
45,4.790421168645055e+18
46,3.299685558699223e+18
47,3.282186858748678e+18
48,2.975817045497772e+18
49,2.813514645580197e+18
50,2.787836295646137e+18
51,1.8942856057285617e+18
52,1.3372416058109865e+18
53,6.559875725600783e+17
54,6.239409059758367e+17
55,3.0128042270844314e+17
56,2.422543727904442e+17
57,1.974398728403232e+17
58,1.839173729062632e+17
59,1.839173729062632e+17
60,1.813246980216582e+17
61,1.511796981040832e+17
62,1.511796981040832e+17
63,1.188566482029932e+17
64,4.44142732854182e+16
65,3.876587336784319e+16
66,3.876587336784319e+16
67,3.876587336784319e+16
68,3.72538735821482e+16
69,2.8958040331239868e+16
70,2.8958040331239868e+16
71,2.8958040331239868e+16
72,2.8958040331239868e+16
73,2.8958040331239868e+16
74,2.8958040331239868e+16
75,2.8958040331239868e+16
76,2.8958040331239868e+16
77,2.8958040331239868e+16
78,2.8958040331239868e+16
79,2.8958040331239868e+16
80,2.8958040331239868e+16
81,2.8958040331239868e+16
82,2.8958040331239868e+16
83,2.8958040331239868e+16
84,2.8958040331239868e+16
85,2.8958040331239868e+16
86,2.8958040331239868e+16
87,2.8958040331239868e+16
88,1.4873041551129874e+16
